1403636581.913555 -0.008378 0.003966 -0.113171 0.810065 0.063402 0.578924 -0.067978 
1403636582.013556 -0.012447 0.005137 -0.174716 0.819041 0.060910 0.566573 -0.066754 
1403636582.113555 -0.016509 0.008361 -0.223827 0.828578 0.068415 0.550962 -0.072247 
1403636582.213556 -0.020296 0.012243 -0.247671 0.835386 0.072824 0.539477 -0.076106 
1403636582.413555 -0.018710 0.017361 -0.194195 0.832979 0.075054 0.542166 -0.081050 
1403636582.513556 -0.016544 0.018437 -0.134677 0.824887 0.078056 0.553456 -0.084590 
1403636582.613555 -0.013359 0.016739 -0.068882 0.820775 0.075972 0.560627 -0.079079 
1403636582.713556 -0.010350 0.013751 -0.003128 0.818739 0.072197 0.564554 -0.075710 
1403636582.813555 -0.005239 0.009201 0.061420 0.815005 0.063433 0.571365 -0.072702 
1403636582.913555 -0.001363 0.003298 0.123119 0.807119 0.053059 0.583873 -0.069540 
1403636583.013556 -0.000981 -0.001015 0.169850 0.797347 0.047329 0.598095 -0.065422 
1403636583.113555 -0.001679 -0.004997 0.188865 0.792405 0.048880 0.604521 -0.065271 
1403636583.313555 -0.002869 -0.005531 0.135292 0.793752 0.052553 0.602917 -0.060722 
1403636583.413555 -0.001793 -0.006737 0.078444 0.795284 0.056200 0.600038 -0.065728 
1403636583.513556 -0.002042 -0.008137 0.011588 0.797624 0.063583 0.595586 -0.070920 
1403636583.613555 -0.002572 -0.008659 -0.058605 0.803590 0.066210 0.587705 -0.066800 
1403636583.713556 -0.005323 -0.007842 -0.126878 0.814176 0.067208 0.571972 -0.073806 
1403636583.813555 -0.009088 -0.006589 -0.185317 0.826431 0.065834 0.553587 -0.078858 
1403636583.913555 -0.013129 -0.005760 -0.231095 0.833118 0.069903 0.543214 -0.077114 
1403636584.013556 -0.017317 -0.003302 -0.258123 0.834789 0.077101 0.539577 -0.077716 
1403636584.113555 -0.020258 -0.001078 -0.259505 0.834134 0.081259 0.539292 -0.082354 
1403636584.213556 -0.018560 -0.000723 -0.231759 0.834069 0.081279 0.539559 -0.081231 
1403636584.313555 -0.014766 -0.000884 -0.182660 0.832217 0.077275 0.543597 -0.077112 
1403636584.413555 -0.008747 -0.002347 -0.119895 0.830518 0.077431 0.547132 -0.069931 
1403636584.513556 -0.001450 -0.004437 -0.048945 0.826308 0.075853 0.554462 -0.063516 
1403636584.613555 0.005007 -0.005817 0.025074 0.817892 0.069153 0.568046 -0.059947 
1403636584.713556 0.008816 -0.007422 0.095007 0.805560 0.063717 0.586118 -0.058975 
1403636584.813555 0.010144 -0.010137 0.154170 0.795236 0.061582 0.599972 -0.061984 
1403636584.913555 0.008199 -0.011341 0.195893 0.788732 0.058107 0.608338 -0.066713 
1403636585.213556 0.010714 -0.011769 0.160845 0.794030 0.049508 0.602382 -0.064813 
